,Country,Category
0,Afghanistan,attacks
1,Albania,anonymizers
2,Algeria,spam
3,American Samoa,anonymizers
4,Andorra,malware
5,Angola,spam
6,Anguilla,attacks
7,Antigua and Barbuda,anonymizers
8,Argentina,attacks
9,Armenia,attacks
10,Aruba,anonymizers
11,Australia,attacks
12,Austria,attacks
13,Azerbaijan,spam
14,Bahamas,attacks
15,Bahrain,reputation
16,Bangladesh,anonymizers
17,Barbados,anonymizers
18,Belarus,spam
19,Belgium,attacks
20,Belize,attacks
21,Benin,attacks
22,Bermuda,anonymizers
23,Bhutan,attacks
24,Bolivia,spam
25,Bosnia and Herzegovina,attacks
26,Botswana,attacks
27,Brazil,attacks
28,British Virgin Islands,reputation
29,Brunei,anonymizers
30,Bulgaria,attacks
31,Burkina Faso,anonymizers
32,Burundi,attacks
33,Cabo Verde,anonymizers
34,Cambodia,anonymizers
35,Cameroon,spam
36,Canada,attacks
37,Cayman Islands,anonymizers
38,Central African Republic,anonymizers
39,Chad,attacks
40,Chile,attacks
41,China,attacks
42,Colombia,attacks
43,Comoros,anonymizers
44,Congo Republic,anonymizers
45,Cook Islands,anonymizers
46,Costa Rica,attacks
47,Croatia,spam
48,Cuba,spam
49,Curaçao,anonymizers
50,Cyprus,reputation
51,Czechia,attacks
52,DR Congo,attacks
53,Denmark,attacks
54,Djibouti,anonymizers
55,Dominica,anonymizers
56,Dominican Republic,attacks
57,East Timor,anonymizers
58,Ecuador,attacks
59,Egypt,attacks
60,El Salvador,spam
61,Equatorial Guinea,attacks
62,Estonia,malware
63,Eswatini,spam
64,Ethiopia,anonymizers
65,Faroe Islands,anonymizers
66,Fiji,anonymizers
67,Finland,organizations
68,France,attacks
69,French Guiana,anonymizers
70,French Polynesia,anonymizers
71,Gabon,attacks
72,Gambia,spam
73,Georgia,anonymizers
74,Germany,organizations
75,Ghana,attacks
76,Gibraltar,attacks
77,Greece,spam
78,Greenland,anonymizers
79,Grenada,anonymizers
80,Guadeloupe,anonymizers
81,Guam,attacks
82,Guatemala,attacks
