,Country,Risk,Code
0,Afghanistan,0.010545462430095286,AFG
1,Albania,1.1181366296675663,ALB
2,Algeria,0.1584003989350397,DZA
3,American Samoa,0.45073469755701795,ASM
4,Andorra,3.3374022803417915,AND
5,Angola,0.017299711695273726,AGO
6,Antigua and Barbuda,5.483663253224768,ATG
7,Argentina,0.4367056406204973,ARG
8,Armenia,0.8415272703619787,ARM
9,Aruba,2.144645472152676,ABW
10,Australia,0.5089153413187842,AUS
11,Austria,0.6716372950627425,AUT
12,Azerbaijan,1.0273241675445623,AZE
13,Bahrain,2.0593345775146408,BHR
14,Bangladesh,0.134547179854855,BGD
15,Barbados,1.0500940200459807,BRB
16,Belarus,1.1349037350720361,BLR
17,Belgium,0.46523974467670826,BEL
18,Belize,6.886451858793801,BLZ
19,Benin,0.05171941815132162,BEN
20,Bermuda,1.6101800900450225,BMU
21,Bhutan,0.12725445854553455,BTN
22,Bolivia,0.18074291680664262,BOL
23,Bosnia and Herzegovina,0.5734177835928506,BIH
24,Botswana,0.2577495667944028,BWA
25,Brazil,0.7769681493185449,BRA
26,Bulgaria,1.289966026101703,BGR
27,Burkina Faso,0.008151265205463777,BFA
28,Burundi,0.009932549932539194,BDI
29,Cabo Verde,0.21884373270169022,CPV
30,Cambodia,0.43317461546291225,KHM
31,Cameroon,0.1583106948114423,CMR
32,Canada,1.1684656428681985,CAN
33,Cayman Islands,2.2127341290865457,CYM
34,Central African Republic,0.0032144852419768058,CAF
35,Chad,0.0032304434927270765,TCD
36,Chile,0.41779770155201834,CHL
37,China,0.16217572680993445,CHN
38,Colombia,0.2858685985338786,COL
39,Comoros,0.03243936841751149,COM
40,Congo Republic,0.02631396796903647,COG
41,Costa Rica,0.24382725988765544,CRI
42,Croatia,0.6032669829314814,HRV
43,Cuba,0.008290602919103648,CUB
44,Cyprus,0.8686037174221053,CYP
45,Czechia,1.0225213503681407,CZE
46,DR Congo,0.004246557709987729,COD
47,Denmark,0.7477430578913542,DNK
48,Djibouti,0.053184832937054186,DJI
49,Dominica,1.0610820244328099,DMA
50,Dominican Republic,0.17935168974980628,DOM
51,Ecuador,0.3919374899506022,ECU
52,Egypt,0.16760208769045673,EGY
53,El Salvador,0.08846326843119738,SLV
54,Equatorial Guinea,0.06493635473279072,GNQ
55,Estonia,3.683139473261846,EST
56,Eswatini,0.09417430696071348,SWZ
57,Ethiopia,0.007589868135791694,ETH
58,Faroe Islands,0.4536363074004578,FRO
59,Fiji,0.10639706706297689,FJI
60,Finland,0.9352941709480704,FIN
61,France,0.863029982245575,FRA
62,French Polynesia,0.09723457661544445,PYF
63,Gabon,0.10380908565429216,GAB
64,Georgia,0.6494237469847226,GEO
65,Germany,1.0011826897097458,DEU
66,Ghana,0.10135348049262966,GHA
67,Gibraltar,1.1566522332285425,GIB
68,Greece,0.43839910034501445,GRC
69,Greenland,0.3034359660865685,GRL
70,Grenada,0.4037540151093725,GRD
71,Guam,0.36798417064813477,GUM
72,Guatemala,0.049049713972332834,GTM
73,Guinea,0.020379693834167933,GIN
74,Guinea-Bissau,0.006402359482881424,GNB
75,Guyana,0.2195110679791118,GUY
76,Haiti,0.015013697526677633,HTI
77,Hashemite Kingdom of Jordan,0.09903564791159833,JOR
78,Honduras,0.34127692223287726,HND
79,Hungary,0.7467663583546982,HUN
80,Iceland,3.0318971417581606,ISL
81,India,0.14459669852758236,IND
82,Indonesia,0.2382880575376312,IDN
83,Iran,0.19036612214563745,IRN
84,Iraq,0.08422317971774697,IRQ
85,Ireland,1.5887484222745372,IRL
86,Isle of Man,3.199448124933097,IMN
87,Israel,0.4811004299961728,ISR
88,Italy,0.47913925640135757,ITA
89,Ivory Coast,0.02253758980780781,CIV
90,Jamaica,0.2167057657022238,JAM
91,Japan,0.16163080271652924,JPN
92,Kazakhstan,0.41988347987215713,KAZ
93,Kenya,0.08983711987291657,KEN
94,Kiribati,0.1985377264840695,KIR
95,Kosovo,0.01788327101284344,XKX
96,Kuwait,0.24194470367091267,KWT
97,Kyrgyzstan,0.2716995471674214,KGZ
98,Laos,0.5269413455229882,LAO
99,Latvia,2.4380470293406526,LVA
100,Lebanon,0.18586858521592806,LBN
101,Lesotho,0.053601956613722475,LSO
